,UNIT,station_name,lat,lng,location_string
357,R366,225 ST,40.887887,-73.860505,"40.887887,-73.860505"
358,R367,233 ST,40.893386,-73.857265,"40.893386,-73.857265"
359,R368,9 AVE,40.646343,-73.994551,"40.646343,-73.994551"
360,R369,FT HAMILTON PKY,40.640872,-73.994229,"40.640872,-73.994229"
361,R370,71 ST,40.619588,-73.998842,"40.619588,-73.998842"
362,R371,79 ST,40.613513,-74.000645,"40.613513,-74.000645"
363,R372,18 AVE,40.607958,-74.001782,"40.607958,-74.001782"
364,R373,20 AVE,40.604798,-73.998456,"40.604798,-73.998456"
365,R374,BAY PARKWAY,40.601898,-73.993821,"40.601898,-73.993821"
366,R375,NEW LOTS AVE,40.658748,-73.899472,"40.658748,-73.899472"
367,R376,EAST 105 ST,40.650625,-73.899558,"40.650625,-73.899558"
368,R377,FLUSHING AVE,40.700244,-73.941658,"40.700244,-73.941658"
369,R378,MYRTLE AVE,40.697266,-73.935692,"40.697266,-73.935692"
370,R379,KOSCIUSZKO ST,40.693329,-73.928826,"40.693329,-73.928826"
371,R380,GATES AVE,40.689652,-73.922281,"40.689652,-73.922281"
372,R381,HALSEY ST,40.68617,-73.916337,"40.68617,-73.916337"
373,R382,GRANT AVE,40.677107,-73.865376,"40.677107,-73.865376"
374,R383,HUDSON-80 ST,40.679369,-73.85896,"40.679369,-73.85896"
375,R384,BOYD-88 ST,40.679857,-73.851492,"40.679857,-73.851492"
376,R385,ROCKAWAY BLVD,40.680429,-73.843853,"40.680429,-73.843853"
377,R386,174 ST,40.837382,-73.887659,"40.837382,-73.887659"
378,R387,E TREMONT AVE,40.840097,-73.879774,"40.840097,-73.879774"
379,R388,E 180 ST,40.841882,-73.873551,"40.841882,-73.873551"
380,R389,BRONX PARK EAST,40.848797,-73.868465,"40.848797,-73.868465"
381,R390,8 AVE,40.635011,-74.011717,"40.635011,-74.011717"
382,R391,FT HAMILTON PKY,40.631428,-74.005387,"40.631428,-74.005387"
383,R392,18 AVE,40.620728,-73.990388,"40.620728,-73.990388"
384,R393,20 AVE,40.617373,-73.985088,"40.617373,-73.985088"
385,R394,BAY PKY-22 AVE,40.612006,-73.982009,"40.612006,-73.982009"
386,R395,KINGS HIGHWAY,40.603967,-73.980668,"40.603967,-73.980668"
387,R396,AVE U,40.597482,-73.979359,"40.597482,-73.979359"
388,R397,86 ST,40.592676,-73.978243,"40.592676,-73.978243"
389,R398,NEW UTRECHT AVE,40.625419,-73.996632,"40.625419,-73.996632"
390,R399,25 AVE,40.597873,-73.986955,"40.597873,-73.986955"
391,R400,BAY 50 ST,40.588879,-73.983629,"40.588879,-73.983629"
392,R401,CENTRAL AVE,40.697673,-73.927131,"40.697673,-73.927131"
393,R402,SENECA AVE,40.702798,-73.907776,"40.702798,-73.907776"
394,R403,FOREST AVE,40.704424,-73.903077,"40.704424,-73.903077"
395,R404,FRESH POND ROAD,40.706181,-73.89591,"40.706181,-73.89591"
396,R405,JACKSON AVE,40.816505,-73.907797,"40.816505,-73.907797"
397,R406,PROSPECT AVE,40.819396,-73.901467,"40.819396,-73.901467"
398,R407,INTERVALE-163,40.822172,-73.896747,"40.822172,-73.896747"
399,R408,SIMPSON ST,40.82417,-73.893228,"40.82417,-73.893228"
400,R409,FREEMAN ST,40.829966,-73.891876,"40.829966,-73.891876"
401,R411,PARK PLACE,40.67491,-73.957794,"40.67491,-73.957794"
402,R412,BOTANIC GARDEN,40.670499,-73.958759,"40.670499,-73.958759"
